x,y
0.5,0.5
0.6578947368421053,0.6578947368421053
0.8157894736842105,0.8157894736842105
0.9736842105263157,0.9736842105263157
1.131578947368421,1.131578947368421
1.2894736842105263,1.2894736842105263
1.4473684210526314,1.4473684210526314
1.6052631578947367,1.6052631578947367
1.763157894736842,1.763157894736842
1.9210526315789473,1.9210526315789473
2.0789473684210527,2.0789473684210527
2.2368421052631575,2.2368421052631575
2.394736842105263,2.394736842105263
2.552631578947368,2.552631578947368
2.7105263157894735,2.7105263157894735
2.8684210526315788,2.8684210526315788
3.026315789473684,3.026315789473684
3.1842105263157894,3.1842105263157894
3.3421052631578947,3.3421052631578947
3.5,3.5
