x,y
0.5,-0.75
0.6578947368421053,-0.8829639889196677
0.8157894736842105,-0.9660664819944599
0.9736842105263157,-0.9993074792243767
1.131578947368421,-0.9826869806094183
1.2894736842105263,-0.9162049861495845
1.4473684210526314,-0.7998614958448753
1.6052631578947367,-0.6336565096952911
1.763157894736842,-0.4175900277008311
1.9210526315789473,-0.15166204986149578
2.0789473684210527,0.1641274238227144
2.2368421052631575,0.5297783933517994
2.394736842105263,0.9452908587257607
2.552631578947368,1.4106648199445972
2.7105263157894735,1.9259002770083091
2.8684210526315788,2.4909972299168963
3.026315789473684,3.105955678670359
3.1842105263157894,3.7707756232686975
3.3421052631578947,4.485457063711911
3.5,5.25
