Original Points,Predicted Point,Loss
[1. 2.],[1.         1.05965204],0.9403479583305276
[2. 1.],[2.         1.09280055],0.09280055126292308
[3.         0.66666667],[3.         1.02178664],0.35511997785705274
[4.  0.5],[4.         0.79313532],0.29313532038224777
[5.  0.4],[5.         0.61705796],0.21705795748684842
[6.         0.33333333],[6.         0.42140766],0.08807432399272913
[7.         0.28571429],[7.         0.24789387],0.037820411869510406
[8.   0.25],[8.         0.18151162],0.06848838078259512
[9.         0.22222222],[9.         0.11005577],0.11216645501604802
[10.   0.2],[10.          0.13744527],0.06255473080049556
[11.          0.18181818],[11.          0.13822114],0.04359703739432119
[12.          0.16666667],[12.          0.15221179],0.014454880540942378
[13.          0.15384615],[13.          0.12070912],0.033137031331561026
[14.          0.14285714],[14.          0.13197733],0.010879809719444355
[15.          0.13333333],[15.        0.120896],0.012437336327779658
[16.     0.125],[16.          0.17708939],0.052089392512315286
[17.          0.11764706],[17.          0.13467486],0.017027803531480007
[18.          0.11111111],[18.          0.19623621],0.08512510269047491
[19.          0.10526316],[19.          0.17040132],0.06513815932586853
[20.   0.1],[20.          0.11065034],0.010650343529062481
