Original Points,Predicted Point,Loss
[1. 2.],[1.         1.07187523],0.9281247703530817
[2. 1.],[2.         1.15345367],0.15345366825785156
[3.         0.66666667],[3.         1.11415885],0.4474921880528976
[4.  0.5],[4.         0.93057211],0.4305721121293451
[5.  0.4],[5.         0.69514789],0.295147890622968
[6.         0.33333333],[6.         0.42914227],0.09580894016570346
[7.         0.28571429],[7.         0.32221665],0.036502360733946526
[8.   0.25],[8.         0.25203224],0.0020322421182289996
[9.         0.22222222],[9.         0.23108047],0.00885824414490241
[10.   0.2],[10.          0.17165329],0.028346713570185866
[11.          0.18181818],[11.          0.08524589],0.09657229149293728
[12.          0.16666667],[12.          0.10586019],0.060806476120776415
[13.          0.15384615],[13.          0.17758387],0.02373771297568894
[14.          0.14285714],[14.          0.10954997],0.033307177320601095
[15.          0.13333333],[15.          0.17188547],0.038552135508879204
[16.     0.125],[16.         0.0972036],0.027796399512237543
[17.          0.11764706],[17.          0.01963467],0.09801238836244065
[18.          0.11111111],[18.          0.10561879],0.005492322390884166
[19.          0.10526316],[19.          0.12299167],0.017728509348935537
[20.   0.1],[20.         0.1248855],0.024885502755583377
