Original Points,Predicted Point,Loss
[1.  0.4],[1.         0.28777526],0.11222474475568317
[2.  0.2],[2.         0.28058793],0.08058792806666992
[3.         0.13333333],[3.         0.25234732],0.11901398375967245
[4.  0.1],[4.         0.29052739],0.19052738931327542
[5.   0.08],[5.         0.19171245],0.11171245351155566
[6.         0.06666667],[6.         0.07959475],0.012928078690060199
[7.         0.05714286],[ 7.         -0.06365001],0.1207928623152231
[8.   0.05],[ 8.         -0.16070066],0.2107006581330213
[9.         0.04444444],[ 9.         -0.04878036],0.09322480308899878
[10.    0.04],[10.         0.0257601],0.014239897271149667
[11.          0.03636364],[11.          0.07287949],0.036515857234721845
[12.          0.03333333],[12.          0.05398659],0.02065325468203262
[13.          0.03076923],[13.         -0.05510296],0.0858721908713847
[14.          0.02857143],[14.         -0.07530123],0.10387265782240326
[15.          0.02666667],[1.50000000e+01 3.89997922e-03],0.02276668744299946
[16.     0.025],[16.          0.03631591],0.011315911514722832
[17.          0.02352941],[17.         -0.02346252],0.046991928523035194
[18.          0.02222222],[18.         -0.04533076],0.06755297909550001
[19.          0.02105263],[ 1.90000000e+01 -1.50074655e-02],0.03606009703835812
[20.    0.02],[2.00000000e+01 1.55146393e-02],0.004485360747322399
