Original Points,Predicted Point,Loss
[1.  0.4],,
[2.  0.2],,
[3.         0.13333333],,
[4.  0.1],,
[5.   0.08],,
[6.         0.06666667],,
[7.         0.05714286],,
[8.   0.05],,
[9.         0.04444444],,
[10.    0.04],,
[11.          0.03636364],,
[12.          0.03333333],,
[13.          0.03076923],,
[14.          0.02857143],,
[15.          0.02666667],,
[16.     0.025],,
[17.          0.02352941],,
[18.          0.02222222],,
[19.          0.02105263],,
[20.    0.02],,
,[19.99999535  0.16032896],0.00984610803425312
